BIANCA,     ARGENTO,     ORO,    ORO_PICCOLO
10.09,      10.26,      10.43,      10.20
10.38,      10.29,      10.34,      10.29
10.10,      10.40,      10.26,      10.16
10.29,      10.31,      10.20,      10.31
10.24,      10.35,      10.27,      10.34
10.36,      10.21,      10.31,      10.34
10.34,      10.38,      10.49,      10.28
10.45,      10.24,      10.24,      10.16
10.24,      10.20,      10.29,      10.36
10.20,      10.18,      10.24,      10.46
10.31,      10.20,      10.31,      10.24
10.38,      10.16,      10.41,      10.31
10.11,      10.23,      10.22,      10.28
10.23,      10.35,      10.27,      10.25
10.27,      10.24,      10.24,      10.17